"Real-time Local Business Condition Index (RTLBCI)"
"Frequency: Weekly"
"Table: 33-10-0398-01"
"Release date: 2021-10-29"
"Geography: Population centre"
""
""

"Reference period","Montréal, Québec (0547) 1","Ottawa, Ontario (0616) 1","Toronto, Ontario (0944) 1","Winnipeg, Manitoba (1036) 1","Calgary, Alberta (0115) 1","Edmonton, Alberta (0252) 1","Vancouver, British Columbia (0973) 1"
,"Number",,,,,,
"August 10, 2020","100.00","100.00","100.00","100.00","100.00","100.00","100.00"
"August 17, 2020","86.92","86.82","125.41","97.42","96.17","99.52","93.99"
"August 24, 2020","88.85","93.67","106.75","104.58","109.99","101.02","101.79"
"August 31, 2020","105.81","94.69","137.18","101.16","94.38","90.93","94.93"
"September 7, 2020","94.85","98.68","135.32","104.55","103.63","99.03","106.38"
"September 14, 2020","102.86","93.23","128.27","108.83","105.35","93.14","103.79"
"September 21, 2020","102.82","109.37","119.15","102.27","87.08","92.36","82.81"
"September 28, 2020","131.23","122.48","132.77","119.31","104.78","109.36","93.20"
"October 5, 2020","124.89","105.59","137.81","131.06","116.11","121.38","106.64"
"October 12, 2020","..","..","..","..","..","..",".."
"October 19, 2020","116.47","105.71","132.23","133.62","111.44","124.52","110.69"
"October 26, 2020","124.74","103.41","128.69","128.08","106.83","121.83","110.05"
"November 2, 2020","131.60","102.49","136.04","124.49","117.13","133.55","111.47"
"November 9, 2020","138.53","117.56","142.63","131.46","124.77","148.99","118.02"
"November 16, 2020","153.02","138.74","156.26","123.11","123.51","146.69","115.34"
"November 23, 2020","137.43","118.90","133.04","116.85","118.80","144.58","112.05"
"November 30, 2020","164.61","123.48","133.80","129.55","128.39","148.92","116.99"
"December 7, 2020","141.89","123.31","133.87","128.30","118.95","146.11","117.62"
"December 14, 2020","143.43","123.59","126.19","136.39","118.07","146.56","114.93"
"December 21, 2020","158.39","132.36","137.55","146.98","114.58","136.26","128.56"
"December 28, 2020","166.19","124.82","151.18","158.56","108.70","170.30","152.94"
"January 4, 2021","128.09","114.58","133.57","148.67","121.65","154.10","146.02"
"January 11, 2021","142.42","97.40","131.38","155.10","113.42","146.11","145.43"
"January 18, 2021","136.31","80.06","119.44","138.43","111.49","137.09","131.46"
"January 25, 2021","140.15","83.22","128.24","138.47","112.87","134.30","128.49"
"February 1, 2021","154.81","94.59","124.83","152.28","110.02","128.33","123.76"
"February 8, 2021","118.92","82.72","107.11","153.15","101.30","129.32","118.05"
"February 15, 2021","125.69","81.53","96.02","148.83","110.43","129.35","113.37"
"February 22, 2021","135.59","91.44","93.47","131.71","117.42","117.82","126.17"
"March 1, 2021","150.91","106.05","121.32","175.07","143.64","153.94","137.13"
"March 8, 2021","162.01","108.53","115.23","153.39","131.03","142.88","115.86"
"March 15, 2021","158.14","99.14","118.78","147.18","129.90","131.89","112.17"
"March 22, 2021","181.77","147.90","152.74","191.72","164.10","169.41","145.62"
"March 29, 2021","197.35","119.26","143.83","184.06","152.54","164.85","145.25"
"April 5, 2021","196.69","115.97","145.06","184.41","152.12","169.23","138.76"
"April 12, 2021","193.16","105.87","135.04","191.20","150.59","158.95","138.67"
"April 19, 2021","193.81","104.80","129.64","182.84","148.32","154.16","141.34"
"April 26, 2021","207.39","82.36","128.07","187.60","140.98","147.39","125.26"
"May 3, 2021","209.59","88.44","133.79","176.54","153.20","148.53","127.97"
"May 10, 2021","178.24","90.24","132.24","170.10","137.25","138.35","120.20"
"May 17, 2021","170.09","89.06","134.41","161.90","130.72","139.73","121.23"
"May 24, 2021","170.20","95.27","135.93","168.17","140.04","153.19","124.46"
"May 31, 2021","196.27","99.55","137.40","165.26","142.36","161.91","127.26"
"June 7, 2021","204.56","108.15","162.64","164.83","146.44","181.09","132.25"
"June 14, 2021","228.50","116.25","164.47","179.50","160.54","180.13","139.72"
"June 21, 2021","231.71","145.22","163.71","176.88","158.50","165.75","139.10"
"June 28, 2021","175.75","150.45","155.06","169.99","161.02","167.33","141.18"
"July 5, 2021","195.23","166.17","163.76","170.62","156.40","168.04","142.90"
"July 12, 2021","191.21","157.05","141.49","190.15","164.28","179.14","151.52"
"July 19, 2021","193.51","166.97","186.53","191.98","164.20","184.90","154.44"
"July 26, 2021","211.29","176.38","183.65","185.79","180.17","192.99","151.09"
"August 2, 2021","228.38","178.12","180.46","185.46","180.64","185.73","151.14"
"August 9, 2021","200.82","170.56","176.39","192.96","175.98","188.33","156.19"
"August 16, 2021","197.11","181.46","182.93","202.34","189.65","203.75","163.54"
"August 23, 2021","181.55","186.84","190.80","202.31","190.61","220.08","170.17"
"August 30, 2021","222.20","190.15","183.39","214.62","201.12","223.15","168.48"
"September 6, 2021","182.10","172.76","186.69","229.15","195.14","213.22","165.77"
"September 13, 2021","178.61","175.04","181.61","222.50","185.86","201.87","165.29"
"September 20, 2021","198.13","170.35","188.34","230.31","183.60","206.40","169.56"
"September 27, 2021","180.59","155.16","173.62","212.95","155.46","191.87","162.01"
"October 4, 2021","206.90","150.78","173.83","209.07","157.59","186.68","144.28"
"October 11, 2021","204.95","157.07","171.94","217.61","168.56","192.14","149.72"
"October 18, 2021","202.53","158.24","207.38","228.36","142.35","197.42","147.55"

Symbol legend:
.., not available for a specific reference period



Footnotes:
1,"The Population Center Unique Identifier (PCUID) is one of the Dissemination Geography Unique Idenfiers (DGUID) at Statistics Canada. The DGUID is a skeleton key for linking geospatial data and statistical data. It facilitates linking every geographic area maintained by Statistics Canada with data tables that use geographic names within Common Output Database Repository (CODR). "



"How to cite: Statistics Canada. Table 33-10-0398-01  Real-time Local Business Condition Index (RTLBCI)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3310039801
